"","data.ST","data.AGEP","data.CIT","data.COW","data.ENG","data.LANX","data.SCHL","data.SEX","data.ANC1P","data.ANC2P","data.FOD1P","data.FOD2P","data.LANP","data.NATIVITY","data.OCCP","data.RAC1P"
"721520",12,21,1,1,NA,2,19,2,51,21,NA,NA,NA,1,4150,1
"370178",6,61,5,1,2,1,18,1,720,999,NA,NA,742,2,4020,9
"656381",12,23,1,1,NA,2,19,1,50,999,NA,NA,NA,1,4710,1
"439525",6,15,1,NA,NA,2,11,1,740,82,NA,NA,NA,1,NA,9
"1399880",25,73,1,NA,NA,2,21,2,50,999,3401,NA,NA,1,NA,1
"346018",6,29,1,NA,1,1,21,1,706,999,1401,NA,711,1,NA,6
"1299726",23,51,1,1,NA,2,19,2,999,999,NA,NA,NA,1,3500,1
"1224951",21,39,1,1,NA,2,21,2,50,999,5200,NA,NA,1,2300,1
"1225104",21,42,1,1,NA,2,16,2,999,999,NA,NA,NA,1,4610,1
"499245",6,73,1,NA,NA,2,16,2,999,999,NA,NA,NA,1,NA,1
"496663",6,52,1,1,NA,2,21,1,939,999,6201,NA,NA,1,160,1
"365080",6,40,1,3,NA,2,21,2,918,291,2304,NA,NA,1,2310,1
"564395",8,53,1,7,NA,2,16,2,32,50,NA,NA,NA,1,205,1
"242913",6,18,1,NA,NA,2,16,1,706,22,NA,NA,NA,1,NA,9
"1558931",27,74,1,NA,NA,2,16,2,82,999,NA,NA,NA,1,NA,1
"876987",13,67,1,1,NA,2,16,1,999,999,NA,NA,NA,1,7700,1
"753175",12,30,1,NA,NA,2,16,1,999,999,NA,NA,NA,1,NA,2
"552897",8,19,1,3,NA,2,18,2,32,111,NA,NA,NA,1,4720,1
"302215",6,9,1,NA,NA,2,7,1,995,999,NA,NA,NA,1,NA,6
"186410",6,88,1,NA,NA,2,21,2,195,999,6107,NA,NA,1,NA,1
"1294257",23,31,1,1,NA,2,13,1,22,999,NA,NA,NA,1,6130,1
"734982",12,58,5,1,NA,2,16,1,275,999,NA,NA,NA,2,7330,1
"830986",13,63,1,NA,NA,2,14,1,210,51,NA,NA,NA,1,NA,1
"723071",12,51,5,1,2,1,21,1,200,999,3600,NA,625,2,3930,1
"163874",6,7,1,NA,1,1,4,1,210,999,NA,NA,625,1,NA,8
